description,itemId
"Trên đoạn đường gạch gòi bé Long xuyên hướng xuống cần thơ chú em nhặt được các giấy tờ như hình , mọi người biết bé này thì liên hệ cho bé nhận lại giấy tờ ạ",17
"Hiện tại em vừa mới làm rơi 1 cái bóp nhỏ trong khoảng từ đoạn đường từ cây xăng Cổng A Đại học Cần Thơ về tới TP. Mỹ Tho, Tỉnh Tiền Giang. Trong bóp gồm có Cccd, bằng láy xe: TRUONG MAI AN BINH; 3 thẻ Ngân hàng và tiền mặt: 215.000₫. ",16
Tôi bị mất 1 chiếc điện thoại ở phòng 404/D2,8
"Chào mn mình bị rớt bóp tiền và một số giấy tờ tuỳ thân, tên là Nguyễn Hoài An. Mình có bị mất từ  cầu rạch ngỗng 2 gần quán gu 22 Mn ai nhặt được cho mình xin nhận lại, mình cảm ơn và hậu tạ.",16
"Mới lụm,phòng 101 c1,của ai,liên hệ,nhận lại,no need thank you",19
Mìn có lặt được thẻ sinh viên này bạn nào  đánh lọt thì liên hệ mìn nhe,13
Tôi đã nhặt được thẻ sinh viên tên: TRI TU NGAN Khoá: 47,13
" Mình có gửi lại cho chú bảo vệ ở trước. Ai mất thì lại lấy,  khoảng 9h25p.",15
Ai bỏ quên cái này tui để ở bàn giáo viên phòng 115/k1 nhe.,1
"Dạ cho em xin kể cái này
Vào hôm chủ nhật em có đi tham quan trường mình, mà xui sao chắc là thấy trường đẹp quá em về rồi mà cọng dây quần nó vẫn còn lưu luyến ở lại 🥲, lúc ở hồ sen này em nhớ vẫn còn
Xong từ khúc đó đi ra cổng thì em có vào căn tin mua đồ, chắc nó đã rời bỏ em từ khúc đó 🥲không biết có anh chị nào đi qua khúc này nhìn thấy em nó kh ạ",1
"Hôm qua ngày 21/3 lúc 20h45 trong tthl e có bỏ quên cục sạc iphone ở tầng trệt dãy máy tính ngoài đối diện cửa sổ, mn có ai thấy hong cho e xin lại với ạ, e xin hậu tạ và cảm ơn ạ😭",1
"xin chào anh chị và các bạn, em là sinh viên Khoa Khoa học Xã hội và Nhân văn. hôm chủ nhật, ngày 31/3/2024 nhóm khoa em đánh bóng chuyền giải cấp trường vào lúc 2h00 phút chiều và có bỏ quên bọc đồ sau lưng có chữ Khoa KHXHVNV tại nhà thi thi đấu mới ngay cửa vào sân sau chỗ bàn ngồi ở phía trong nhà. Anh/chị và các bạn ai có giữ liên hệ giúp em qua bình luận ạ. Em xin cảm ơn.",1
"Góc nhầm đồ!!!!!!!
Hôm nay, tại nhà xe sân khấu Đoàn Khoa có bạn để nhầm đồ trên xe mình, của bạn nào thì inbox mình gửi lại nhaaaa",1
2 món này đang ở phòng 104 khoa khtn,13
Hiện tại ở phòng 108/C1 mình có giữ cả nước của bạn nào đó bỏ quên. Nhận lại thì in nick Facebook của mình,20
"Nhặt được của rơi tạm thời bỏ túi. Ai làm rơi liên hệ nha, mình không cho nhận lại.",13
"Dạ mọi người cho em hỏi, chiều này lúc 15h em có để quên bọc đồ ở trước phòng 301BK, có ai thấy cho em hỏi xíu tung tích của nó được hông mọi người, lúc 17h30 em quay lại trước phòng tìm mà hông thấy đâu nữa:(((((",1
Cj nào làm rớt CCCD vs Chìa Khóa xe muốn nhận lại thì liên hệ ,17
Dạ của A/C nào mình liên hệ quầy chìa khoá tầng 1 nhận lại nha,13
Mình có nhặt được thẻ xe,15
Mình nhặt được cái bóp của bạn Nguyễn Tiến Cường. Ai quen bạn Cường thông báo với bạn ấy dùm nha. Liên hệ 0942192113 gặp mình để nhận lại,16
"Trên đường từ trạm thu phí Ô Môn đến hẻm 90, Hùng Vương mình có đánh rơi 1 chiếc ví gấp 3, có chữ HEYMISTER màu ghi. Bên trong có cccd, cà vẹt xe, bằng lái,... tên Huỳnh Thanh Vy và một số tiền.",16
Người anh em nào làm rơi Thẻ sinh viên trong tthl  thì liên hệ mình nhe 🤣 trả chứ không cho chuộc,13
Mình nhặt được thẻ xe bạn nào làm rớt liên hệ mình nè,15
" bạn em bị mất điện thoại có ốp màu xanh như hình dưới đây. Do bạn em ngồi dãy ghế ngày cửa sau, bạn nào đi bên ngoài có vô tình gặp cho bạn em xin lại,",8
Nhặt được thẻ xe và mình gửi bảo vệ tòa ai làm rớt lại tìm liên hệ nha,15
 Tui làm rớt đùm chìa khóa Ai nhặt được liên hệ em hậu tạ cho ạ,19
"Em có đáng rơi cái ví như hình. Ai nhặt được liên hệ sdt 0379348303 ( Kim Toàn). Em cảm ơn và hậu tạSáng nay Thứ 3 ngày 05/03/2024 trên đoạn đường từ Trần Văn Hoài đến ĐHCT, khoa KHTN",17
" Mình có nhặt được CCCD của bạn ở Phòng đào tạo, mình có gửi ở chú quẹt thẻ xe C1 á, có gì bạn lại đó nhận lại nha",17
"Dạ hôm qua buổi tối, e có làm rơi một cái ví màu hồng với đen, có giấy tờ tùy thân và hai căn cước. Anh chị nào có nhặt được, liên hệ giúp em nha.
0945431447 - Trịnh Thu Hân",16
"Em làm rớt cái bóp trong đại học Cần thơ, ngay sân nhà thi đấu cũ ( chỗ có đánh cầu lông trong nhà ), rơi tại sân 3 bóng chuyền lúc 5h chiều ngày 11/4, trong bóp có cccd và bằng lái xe A1, thẻ ngân hàng bidv có tên chung Phạm Trung Kiên, sinh năm 2004, có ai nhặt được cho em xin lại",16
Đã nhặt được tại khu vực nhà điều hành Đại học Cần Thơ ,17
"vài ngày trước em có lỡ làm rơi Suga ở tthl, mn có ai nhặt được cho em xin lại với ạ vì đó là quà bạn em tặng ạ. em cảm ơn mn nhiều",1
"Dạ mọi người ơi 
Sáng hôm qua thứ 7 ngày 9/3 khoảng 9h sáng, em có mất bóp tiền đoạn đường từ cổng ktx A ra cổng A 
Bóp màu tím, có hình gấu trúc với có chữ panda. Trong bóp có giấy tờ tùy thân để tên Dương Thị Minh Châu và mấy tấm ảnh thẻ 
Ai có nhặt được thì liên hệ em với 😭😭 sđt 0944307014
Em cảm ơn!",16
"Dạ xin chào mọi người 
Hiện tại em đang bị mất bóp
Bóp màu đỏ có một số giấy tờ tùy thân
Tên Nguyễn Hồng Cúc 
Ai nhận được vui lòng liên hệ sđt: 0886229330 hoặc số 0395826049. 
Em xin chân thành cảm ơn",16
Cho em hỏi có ai nhặt được 1 chùm chìa khoá không ạ? Có gắn chung với 1 con gấu ạ :((( em lỡ làm rơi,19
"Hôm nay em có để quên kính ở phòng 204/D2, ai nhặt được em xin lại ạ. Em cảm ơn.",26
"Tôi nhặt được cái nón ở phòng 202/B1
Ai là chủ nhân nhắn tin tôi để nhận lại",7
"Góc tìm đồ:
HÔM NAY MÌNH CÓ ĐI QUA BÊN TRƯỜNG ĐẠI HỌC CẦN THƠ, ĐOẠN ĐƯỜNG TỪ TRƯỜNG NÔNG NGHIỆP CHO ĐẾN TRƯỜNG THỦY SẢN MÌNH CÓ LÀM RƠI CÁI VÍ NHƯ HÌNH. CÓ BẠN HOẶC ANH/CHỊ/EM NÀO NHẬN ĐƯỢC THÌ CHO MÌNH XIN LẠI VỚI Ạ. EM XIN HẬU TẠ SAU Ạ!! SĐT: 0377794503 gọi điện hoặc qua Zalo em ạ! Em xin cảm ơn nhiều ạ!!",16
Ní nào rớt bịch thuốc nhà xe c1 kìa 🤡,1
Dạ cho e hỏi có ac có nhặt đc cái bảng tên có hình gấu dâu  ở nvs  gần văn phòng  đoàn hong ạ có msv237170008 tên là Lê Hải Đăng  hong ạ cho e xin lại với😭,13
"em vừa nhặt được ví này ở cua quẹo nhà xe C1, ai mất liên hệ em nhận lại nha 0332976169",16
"- Góc quên đồ -
Phòng 202 C1 
Bạn Hồng Thương ơi, lên lấy tập về nhaa",21
Mình nhặt được chìa khoá trước phòng 107/C1. Bạn nào làm rớt liên hệ mình.,19
"Dạ chào mọi người🥲
Chuyện là sáng e gửi xe trường Nông Nghiệp xong e học 123 ở B1 và 45 ở C1
Có a chị bạn nào thấy chìa khoá xe ( future có móc khoá DHCT ) và thẻ xe không ạ!!
Em cảm ơn đã đọc ạ 🫸🫷",19
"Sáng ngày thứ tư 6/3 mình có làm rơi chìa khoá xe. Hành trình mình đi từ phòng 104/B1 qua tiện ích KTXA, ai có nhặt được xin liên hệ mình qua tài khoản này. Mình xin cảm ơn và hậu tạ",19
"Chiều t2 4/3/2024 tiết 89 ở sân cầu lông 1-2 nhà thi đấu cũ, em có đánh rơi một chiếc đồng hồ như hình bên dưới. Có ai nhặt được cho em xin lại với ạ😭😭",22
"Mọi người ơi, ai quên thẻ xe A3 thì lại chỗ TTHL lấy lại nha, chỗ thùng trả sách.",15
"Sáng nay 12/3 tầm 9h mấy mình có để quên kính này ở căn tin trường kinh tế, ai nhặt được cho mình xin lại. Mình cảm ơn nhiều ạ 🥲",26
"Vào tầm chiều tối ngày 12/03 tại khu phức hợp, tụi em có nhặt được cái bóp màu hồng như ảnh. 
Ai mất liên hệ với sđt:0813516802 (Vân) để đối chiếu và nhận lại ạ",16
"Bạn nào rớt tiền và thẻ xe ngay xe máy bs 66MA-043.97 đậu nhà xe C1 liên hệ mình nhận lại nhé ..! 
Mong ad duyệt bài giúp em ạ!",11
Mình có nhặt được 121k chổ khu học A3 ai có đánh rơi liên hệ mình nhe.,11
"Sáng nay ngày 19/3 mình có được cô nhờ giữ hộ áo khoác Màu Xám có chữ ""AHDN ADRI"" của một bạn bỏ quên tại phòng 201/XH . Nếu bạn hay người quen có thấy thì liên hệ mình gửi lại.",27
"Mọi người ơi, hqua trên đoạn đường từ ngã 3 khu cán bộ gv ra đường 3/2(hẻm51) qua cầu Hưng Lợi em có đánh rơi cái ví. 
Trong ví gồm có thẻ,giấy tờ xe cùng với căn cước tên ĐẶNG THỊ TRÚC XINH 
Ai có nhặt được cho em xin lại có hậu tạ",16
"Mình có nhặt đc thẻ xe ở hàng rào  lối đi từ nhà  xe tới dãy C7, bạn nào  mất liên hệ mk nha",15
Tớ bị mất thẻ sinh viên mã số B2111649 bạn nào nhặt được cho tớ xin lại với ạ,13
"Mấy bạn, anh chị nào hôm nay 18/3 có thi giữa kì môn Lịch Sử Đảng phòng hội trường khoa Sư Phạm từ ca sau 3h có thấy điện thoại như hình thì cmt cho em liên hệ với ạ, vị trí em ngồi là số 121 
Em xin cám ơn và hậu tạ sau ạaaaaaa😭",8
Hôm chủ nhật chiều 3h em có đánh rơi cà vẹt xe ở Hội Trường Rùa. Mong có bạn hay anh chị nào nhặt được thì liên hệ em qua số điện thoại 0939776644. EM XIN CẢM ƠN VÀ HẬU TẠ SAU Ạ 😥,28
"Mn ơi em bị lạc mất thẻ sv mã số B2303369,dây đeo màu trắng 
Có anh chị nào nhặt được liên hệ em với ạ 😓
Em cảm ơn
",13
Mình có nhặt được cái tai nghe,1
Bạn nữ nãy quên chìa khoá ở ATL xuống chỗ nãy lấy lại nha. Tui còn ngồi tới 11h á trễ nữa bạn ghé chú bảo vệ hỏi nha….,19
"Chuyện là sáng nay mình có nhặt được một số tiền ở trước dãy A1 KTX A, bạn nào mất liên hệ mình để nhận lại nha",11
"Mn cho mk hỏi là có ai nhặt đc chìa khoá giống vậy ko ạ 
Mk lm rớt ở chỗ nhà lưới trường nông nghiệp 
Mn có ai nhặt đc thì cho mk xin lại 
Mk cảm ơn nhiều lắm ạ",19
"Mình lụm được 50k, bạn nào rớt liên hệ mình để nhận lại nha!!!",15
Lúc 11h30 mình có nhặt được chiếc nhẫn chỗ nvs dãy B1 bạn nào mất liên hệ mình nha. ,10
"Có 1 bạn nhặt được b.óp và gi.ấy t.ờ. của bạn Đặng Thị Trúc Xinh lớp TS2282A1quê ở Phú Hưng, Cái Nước,Cà Mau. Bên trong có 1 số giấy tờ t.ùy thâ.n quan trọng.Ai đọc đc CFS này có quen biết bạn. Nói bạn liên hệ bảo vệ cổng A nhận lại.",16
"Chị mình có nhặt được một v.í t.iền cũng khá lâu rồi, trong hẻm liên tổ 12-20 nha. Trong ví có 1 c.ăn c.ước, 1 thẻ ngân hàng, 1 bả.o hi.ểm tai nạn và t.iền mặt. Trên căn cước có ghi tên Nguyễn Quỳnh Như 2k4, nếu bạn có thấy được cfs này vui lòng liên hệ này để nhận lại ví ",16
"Ngày 18/3/2024, thứ hai gần 11 giờ trưa ở sảnh ALT, mình với bạn mình có nhặt được 480k và đã đưa cho bảo vệ tiếp nhận rồi. Bạn nào mất thì hỏi bảo vệ bên ALT nhe ạ",11
Em có bỏ quên cái airpods đen trong trung tâm học liệu ở phía bên trong chỗ bỏ giầy dép mới được vào 🥲 hi vọng có ai nhặt được liên hệ em ạ huhu,23
Mấy b thi ca 1 quản trị dự án (19/3) tại khoa khxh có ai thấy áo khoác xám của mình để dưới hộc bàn k ạ😥,27
"Mình nhặt được ví của bạn HUỲNH BẢO NGỌC tại ghế gỗ Viện sinh học ĐHCT.
Bạn có thấy bài viết này thì liên hệ mình để lấy lại nha❤",16
Bạn nào làm mất liên hệ mình nhận lại nha.,17
Sáng nay thứ hai 25/3 Bạn nào làm rớt áo khoát như hình trên thì đến Bánh Mì C1 nhận lại nhé !,27
"chào mọi người ạ, Hôm nay tầm 9h - 9h30 em có đi chương trình ""Hương vị đồng bằng"" ở hội trường Rùa và em có làm mất cái điện thoại Vivo (như hình bên dưới). Anh, chị hay cac bạn nào có nhặt được xin liên hệ fb này ạ. Em xin cảm ơn ạ!",8
"Xin chào mọi người! Hôm nay ngày 24/3 tầm 10h-11h em có đi hội chợ sinh viên tại hội trường rùa và làm mất bóp có giấy tờ tên Nguyễn Thị Vạn Lý. Anh chị, các bạn nào có nhặt được vui lòng liên hệ em qua FB này ạ. Em cảm ơn rất nhiều!",16
"Chào mọi người,
Hôm nay mình có đến phòng 101/KT, bàn thứ 2, dãy ghế đầu tiên từ cửa vào. Mình có nhặt được một chiếc bông tay của bạn nào đánh rơi. 
Của bạn nào thì nhắn tin cho mình để nhận lại nha! 
Ngày 24/03",10
Sai để wen sáng thứ hai vào c1 nhận lại nhé,28
"Các anh các chị và các bạn ơi, lúc chiều nay (22/3) sau khi tan học tiết 7,8 tại phòng 203 nhà học C2 khoa SP, em có để quên chiếc điện thoại Ip 6s màu hồng trong phòng. Mọi nguời có nhặt đuợc xin cho em nhạn lại ạ. Giờ lòng em rối lắm khi ngờ ra mình bị lạc điện thoại. Em cảm ơn và nhớ ơn mọi nguời ạ!",8
Mình có nhặt được tiền tại nhà xe trường nông nghiệp 15h-17h 23/3. B nào có mất liên hệ mình nha.,11
"Dạ chiều nay (27/3) trong tiết Kinh tế chính trị phòng 107 C1, bạn em để quên chiếc Redmi note 12 ốp màu đen, các bạn và anh chị nếu thấy có thể thông báo cho em với ạ, em xin cám ơn mọi người.",8
"SOS 🧨🧨
Chuyện là mình có bị mất tập sơ mi tương tự hình trong đó chứa 10 tuần avcn 3 bài tt phân tích kĩ thuật và 1 số giấy tờ ă. Hỏng biết có bạn nào nhặt được cho mình xin với ạ😭😭😭😭😭. Mình cảm ơn nhiều lắm",25
"Dạ có anh chị nào nhặt được thẻ sinh viên thì cho em xin lại với ạ ! Nảy em đi học Triết bên C1 mà
có lỡ làm rớt mất thẻ sinh viên ! Nhưng em quay lại tìm mà không thấy 🥹🥹",13
"Sáng nay tiết Hiến pháp của thầy Toàn có bạn nào để quên điện thoại thì xuống Đoàn thanh niên kế phòng học lấy nha, mình gửi lại đó rồi á.",8
"SOS Chiều chủ nhật 31/03 khoảng 13h20 trên đoạn đường từ KTXA đến nhà học B1,từ nhà học B1 đến phòng 109/C1 em có làm rơi bóp trong bóp có giấy tờ xe tên Phạm Thanh Mộng ,và một số tiền mọi người có ai nhặt được cho em xin lại em xin cảm ơn và hậu tạ!!!!!",16
Bạn nào có đánh rơi chìa khóa xe ở NHÀ THI ĐẤU MỚI hãy liên hệ với cô nhé!,19
Hi mấy bạn chiều nay 28/3 mình nhặt được 1 tờ 50k trong nhà xe ktx khu A . Ai đánh rơi thì ib mình nhận lại nha.,11
"Sáng mình có nhặt được 1 tai nghe airpod ở khoa cntt bạn nào để quên thì cmt mô tả tình trạng hoặc hình ảnh ở dưới, nếu trùng khớp mình sẽ liên lạc và gửi trả ạ!!!",23
Mèo bạn nào lạc nè,1
"Em xin chào tất cả anh chị !!!! Em là sinh viên nghèo vượt khó đi lên từ vùng sâu vùng xa, sau quá trình tích góp hơn 20 năm thì em đã xin tiền ba mẹ để mua 1 cái laptop hiệu Lenovo, nhưng do sự mệt mỏi nên em đã sơ suất để quên ở phòng học 208, nhà học C1 vào thứ năm ngày 28/03/2024. Dạ anh chị nào có vô tình nhặt được thì cho em xin lại với ạ, em xin hậu tạ !!! Anh chị có thể điện cho số điện thoại 0948.584.022, hoặc anh chị có thể cmt vào bào viết này ạ!!!! Em xin cảm ơn anh chị !!!!",9
Dạ có anh chị nào nhặt được thẻ sinh viên thì cho em xin lại với ạ ! Nảy em đi học Triết bên C1 mà có lỡ làm rớt mất thẻ sinh viên ! Nhưng em quay lại tìm mà không thấy,13
mọi người ơi hqua ngày 01/04/2024 em có làm mất một cái ví màu nâu da bò ở bàn đá C1 chỗ mấy cây hoa sứ. Có các giấy tờ tuỳ thân tên Nguyễn Ngọc Ý Vi ai có nhặt được cho em xin lại với ạ. Em cảm ơn,16
"Dạ e có nhặt đc thẻ sv của chị này trước nhà thi đấu mới ai biết thông tin của chị cho e xin, để e  gửi lại thẻ sv cho chị đó ạ.",13
HT khoa SP vào nhận lại nhanh,8
"Dạ hôm nay e có học phòng 102/KT dãy bàn thứ 3 từ trên xuống có nhặt được quyển sổ này. Dạ anh chị nào có mất thì liên hệ e trả lại ạ, tại e thấy trong đó ghi bài cũng nhiều nên chắc là quan trọng.",21
"Chiều nay mình có nhặt đc thẻ sv ở 102/MT, bạn nào làm rơi thì ib mình nhận lại nha",13
Mình bị lọt mất cái bóp tiền khi di chuyển từ đại học cần thơ đến siêu thị lotte mậu thân có anh chị nào nhặt được cho em xin lại với ạ. Em có hậu tạ ạ. Em cảm ơn nhiều ạ.,16
Nải đi xem bóng chuyền có bạn để quên cái bìa sơ mi bên trong có tờ này và một cuốn sổ. Bạn liên hệ mình để nhận lại nha,21
"Mình nhặt được cccd của bạn này, ai biết bạn này chỉ bạn lh mình lấy lại nhe",17
"Chào mn! Trong buổi chiều nay 9/4/2024, trong lúc chụp hình kỷ niệm tốt nghiệp em đã không quản lí kĩ túi đeo của mình nên đã bị đánh mất. 
Hiện ai có thấy túi đeo chéo màu xám quai đeo màu đen (tương tự như hình) trong túi có: 
- Giấy tờ tùy thân tên Trần Văn Gia Bảo
- Cavet xe máy, BLX A1.
-Thẻ ATM.
- chùm chìa khóa.... cùng một số giấy tờ quan trọng của em khác.
Ai có vô tình nhặt được hoặc lấy nhầm thì cho e xin lại, hoặc gửi bảo vệ trường ĐHCT ạ!  Em xin hậu tạ nhiều ạ! 
Xin chân thành cảm ơn!
Cám ơn ad đã duyệt bài ạ!",24
Hnay b mình nhặt được cái bóp này bên phòng 111 nhà học B1 ai để quên thì ib nhận lại nhoé🥰,16
Buổi sáng tốt nghiệp tầm khoảng 7-8h mình có để quên cái túi như trong hình ở ngoài HTR bên trong có chìa khoá xe và thẻ xe bạn nào có cầm nhầm cho mình xin lại.,24
"Mình có nhặt được cái áo khoác như hình tại tthl, bạn nào bỏ quên liên hệ mình nhận lại nha.",27
"Chiều nay trên đường từ cổng C đến sinh tố 228 và trên đoạn đường 3/2 phường Xuân Khánh, Ninh Kiều, Cần Thơ mình có đánh rơi cái bóp màu đen trong đó có BLX và một số giấy tờ quan trọng tên Nguyễn Văn Luân ai có thấy hoặc nhặt được xin liên lạc với mình có cảm tạ !",16
Chiều ngày 5/4/2024 em có đi dự tốt nghiệp em có đánh rơi thẻ xe văn phòng đoàn từ C1 qua hội trường Rùa ạ. Mn có nhặc hoặc thấy cho em xin lại với nha em cảm ơn rất nhiều ạ,15
"Dạ chào mọi người, em có bị mất 1 cái bóp như hình mà màu hơi trầm 1 xíu tại công viên sông hậu. Trong đó có giấy tờ quan trọng của em tên Hồ Như Ý (như CCCD, giấy tờ xe...)",16
"Hôm nay từ bún đậu mắn tôm 3 phải đường Trần Văn Hoài đến vòng xoay cổng A ĐHCT  em có làm rơi 1 cái bóp màu nâu trong đó có Bằng Lái xe,1 thẻ ngân hàng tên Nguyễn Thái Duy và 1 ít tiền mặt ai có nhặt được cho em xin lạii em cảm ơn và sẽ có hậu tạ ạa giúp dùm em mọi người ơi huhu",16
"Bạn nào làm rơi chìa ở B1 phòng 211, nhận lại lh mình nha",19
Xin chào mọi người. chuyện là mình có mất một cái áo khoác đen tại C1 bạn ha y anh chị nào có nhặt được cho mình xin lại với,27
"Mình có nhặt được thẻ sv như hình tại tthl, bạn nào bỏ quên liên hệ mình nhận lại nha.",13
"Sáng 29/3 mình có làm mất thẻ xe(nhà xe văn phòng đoàn) đoạn từ nhà xe văn phòng đoàn đến nhà học B1, có bạn nào nhặt được thì cho mình xin lại ạ, mình cảm ơn.",15
"Mình lụm được thẻ xe của bạn nào ở nhà xe kinh tế nè, liên hệ mình trả nhe",15
"trưa nay có bạn nhặt được thẻ sv gần ktx A, bạn nào làm rơi liên hệ nhà xe ktx A nhận lại nhe",13
Mn có ai làm rớt cái này thì liên hệ bảo vệ cổng B để nhận lại nha.Bên trong có giấy tờ khá quan trọng ạ. Mik nhặc được vào lúc 6h   mấy á (ngày 2/4/2024),1
